State,League,Club Name,Suburb,Primary,Secondary,Distance,HomeGround,Reputation
South Australia,SAPL,Modbury Hawks,Ridgehaven,Brown,Yellow,15,South Adelaide Reserve,50
Western Australia,WAPL,North Fremantle Magpies,North Fremantle,Black,White,15,Perth Park,50
Western Australia,WAPL,Beverley Redbacks,Beverley,Red,Black,20,Perth Park,50
Western Australia,WAPL,Railway Tigers,Albany,Yellow,Black,30,Perth Park,50
Western Australia,WAPL,Kalgoorlie Kangaroos,Kalgoorie,Black,White,10,West Fremantle Oval,50
Western Australia,WAPL,Mount Barker Bulls,Mount Barker,Green,White,20,West Fremantle Oval,50
Western Australia,WAPL,Bunbury Bulldogs,Bunbury,Yellow,Black,40,West Fremantle Oval,50
Western Australia,WAPL,Donnybrook Dons,Donnybrook,Blue,White,70,Swan Districts Oval,50
Western Australia,WAPL,Deanmill Hawks,Deanmill,Brown,Yellow,50,Swan Districts Oval,50
Western Australia,WAPL,Jandakot Jets,Atwell,White,Red,30,Swan Districts Oval,50
Western Australia,WAPL,Koongamia Crows,Koongamia,Red,Navy,25,Swan Districts Oval,50
Western Australia,WAPL,Hammond Park Hurricanes,Hammond Park,Green,Navy,10,Swan Districts Oval,50
Western Australia,WAPL,Melville Rams,Melville,Gold,Green,12,Swan Districts Oval,50
New South Wales,NSWPL,Penrith Rams,Penrith,Teal,Black,20,North Sydney Oval,50
New South Wales,NSWPL,Campbelltown Blues,Campbelltown,Navy,White,20,North Sydney Oval,50
New South Wales,NSWPL,Killarney Vale Bombers,Killarney Valley,Black,Red,15,North Sydney Oval,50
New South Wales,NSWPL,Southern Broken Hill Kangaroos,Broken Hill,Red,White,15,Canberra Reserve,50
New South Wales,NSWPL,Lockhart Demons,Riverina,Navy,Red,20,Canberra Reserve,50
New South Wales,NSWPL,Ungarie Magpies,Ungarie,Black,White,20,Canberra Reserve,50
New South Wales,NSWPL,Wagga Tigers,Wagga Wagga,Black,Yellow,30,Sydney Cricket Ground,50
New South Wales,NSWPL,Wollongong Lions,Wollongong,Red,White,25,Sydney Cricket Ground,50
New South Wales,NSWPL,Cardiff City Hawks,Cameron Park,Brown,Gold,35,Sydney Cricket Ground,50
New South Wales,NSWPL,Manly Warringah Wolves,Manly,Maroon,White,20,Sydney Cricket Ground,50
Queensland,QPL,Hermit Park Tigers,Annandale,Black ,Yellow,30,Riverway Stadium,50
Queensland,QPL,Northern Beaches Suns,Burdell,Light Blue,Red,25,Riverway Stadium,50
Queensland,QPL,Port Douglas Crocs,Port Douglas,Navy,White,30,Cazalys Stadium,50
Queensland,QPL,Cairns City Lions,Holloways Beach,Navy,Green,40,Cazalys Stadium,50
Queensland,QPL,Sandgate Hawks,Taigum,Green,Red,32,Moreton Bay Central Sports Complex,50
Queensland,QPL,Springwood Pumas,Underwood,Navy,Yellow,15,Moreton Bay Central Sports Complex,50
Queensland,QPL,Wynnum Vikings,Wynnum West,Light Blue,Navy,13,Moreton Bay Central Sports Complex,50
Queensland,QPL,Coomera Magpies,Coomera,Black,White,20,Moreton Bay Central Sports Complex,50
Queensland,QPL,North Mackay Saints,Beaconsfield,Black ,White,30,QSAC,50
Queensland,QPL,Bay Power,Urangan,Black,Teal,20,QSAC,50
Northern Territory,NTPL,Canteen Creek Blues,Canteen Creek,Navy,White,10,Gardens Oval,50
Northern Territory,NTPL,Elliott Hawks,Elliott,Brown,Gold,15,Gardens Oval,50
Northern Territory,NTPL,Sporties Spitfires,Tennant Creek,Black,Red,10,Tennant Creek Oval,50
Northern Territory,NTPL,Ti Tree Roosters,Ti-Tree,Dark Blue,Red,35,Tennant Creek Oval,50
Northern Territory,NTPL,Baywara Power,Gunyangara,Teal,White,20,TIO Stadium,50
Northern Territory,NTPL,Nguykal King Fish,Yirrkala,Teal,Navy,40,TIO Stadium,50
Northern Territory,NTPL,Arnhem Crows,Barunga,Red,Navy,30,TIO Stadium,50
Northern Territory,NTPL,Katherine Camels,Katherine,Black,Orange,15,Katherine Recreation Reserve,50
Northern Territory,NTPL,Tapalinga Superstars,Wurrumiyanga,Brown,Gold,30,TIO Stadium,50
Northern Territory,NTPL,Walama Bulldogs,Wurrumiyanga,White,Navy,23,TIO Stadium,50
Tasmania,TPL,Brighton Robins,Pontville,Navy,Red,20,North Hobart Oval,50
Tasmania,TPL,Kingborough Tigers,Kingston,Black,Yellow,15,North Hobart Oval,50
Tasmania,TPL,Sorell Eagles,Sorell,Black,Blue,20,North Hobart Oval,50
Tasmania,TPL,Circular Head Saints,Smithton,Red,Black,15,UTAS Stadium,50
Tasmania,TPL,Burnie Dockers,Burnie,Green,Navy,10,UTAS Stadium,50
Tasmania,TPL,Somerset Kangaroos,Somerset,White,Blue,15,UTAS Stadium,50
Tasmania,TPL,Cuprona Bulldogs,Heybridge,Blue,Red,25,UTAS Stadium,50
Tasmania,TPL,Spreyton Eagles,Spreyton,Maroon,Gold,16,UTAS Stadium,50
Tasmania,TPL,Turners Beach Seagulls,Turners Beach,Blue,White,30,UTAS Stadium,50
Tasmania,TPL,Campania Wallabies,Campania,Green,Gold,20,North Hobart Oval,50
